POWER_3,POWER_4,POWER_5,POWER_6,POWER_7,ACTUAL_PRICE,DATE
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
24.7,24.7,24.7,24.7,24.7,24.7,
31.103097122107258,31.124487117639916,31.191974720314647,31.176223961454525,31.193582024784973,34.25,2000-03-29
32.36068871003762,32.431902336461064,32.47151340169785,32.34158831483728,32.378014413634446,36.75,2000-03-30
35.09417715605457,35.16357261536035,35.14763902377291,35.009174245577015,35.01232292689383,39.7,2000-03-31
37.28881902200396,37.285451792722796,37.27035458024858,37.46604530053082,37.43524125946624,38.9,2000-04-03
38.8318438839926,38.740889090310645,38.715245741617686,38.49813231457847,38.52957907313453,35.8,2000-04-04
38.433564595812435,38.39031434483388,38.38580346804198,38.41004740943936,38.41685739085483,34.7,2000-04-05
36.264764721487246,36.26799950221741,36.23655577126573,36.320459495836985,36.29323400590147,32.8,2000-04-06
35.36461793942825,35.36984733630274,35.38026007689155,35.320200753172685,35.32261152616991,35.45,2000-04-07
33.625073875851676,33.64063566654869,33.62659417755435,33.46777161807768,33.509445694764736,37.95,2000-04-10
36.044059266351574,36.06971291565375,36.114485018734456,36.12391091347399,36.11639670988404,36.7,2000-04-11
37.88128490938106,37.82932915259144,37.83032765281746,37.939020570491266,37.92005508198258,36.95,2000-04-12
36.93352749933441,36.93441296639119,37.028191360269375,36.999765699548334,36.98980237155183,35.0,2000-04-13
37.06878411554644,37.06857308248155,37.14723143212177,37.11127999206201,37.09721761676815,34.05,2000-04-17
35.535166007556604,35.51552404187199,35.56915573220613,35.59457218026364,35.617413911321364,34.4,2000-04-18
