POWER_3,POWER_4,POWER_5,POWER_6,POWER_7,ACTUAL_PRICE,DATE
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
245.0,245.0,245.0,245.0,245.0,245.0,
309.0430007912346,309.3525368665869,309.3690324575791,309.3863401842307,309.4046984473013,304.35,2011-01-31
307.6458880569153,306.88313660473796,306.8202971817227,306.7614769582833,306.7025111049843,308.3,2011-02-01
306.5925925834945,308.02495599375106,308.0038280839217,307.9814875739321,307.9580345138602,312.5,2011-02-02
309.33774143998744,309.0974260083167,309.10346803825814,309.11044946369657,309.11749636712557,317.35,2011-02-03
312.3413732645495,312.33204461459536,312.32998759811744,312.32814857590347,312.3261400001884,308.15,2011-02-04
316.8411467504993,316.9704668496852,316.96600962225057,316.96325654721295,316.9606528465665,304.65,2011-02-07
308.8001287018633,308.7387133241864,308.7433880418248,308.7487596077117,308.7538996203366,301.4,2011-02-08
305.45968137595264,305.6642742897384,305.6493061896472,305.6339242817339,305.61893261903606,298.7,2011-02-09
301.7920862744968,301.7766982219182,301.7566934757924,301.7355137179984,301.7149979350652,297.65,2011-02-10
301.52437101888063,301.24367773358244,301.2291207219241,301.21324268897297,301.19740921782886,304.6,2011-02-11
300.79141316077585,300.06920879893005,300.0325593558737,299.9981664707666,299.96482849316817,302.8,2011-02-14
305.4883607043066,305.2739123160718,305.2893977175554,305.30487158508913,305.319980457788,302.45,2011-02-15
303.65006762641497,303.80849603386014,303.823759958399,303.83791206047135,303.85113820448714,301.1,2011-02-16
303.7183001364883,303.4383925104048,303.4630621858814,303.488515949608,303.5137348697481,305.05,2011-02-17
302.52290371565323,302.4157943906612,302.432631528216,302.44911274544575,302.46481138320087,302.35,2011-02-18
305.3782434689856,305.26601182634477,305.28003177621576,305.29492047198073,305.31038423166683,301.85,2011-02-21
