POWER_3,POWER_4,POWER_5,POWER_6,POWER_7,ACTUAL_PRICE,DATE
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
157.4,157.4,157.4,157.4,157.4,157.4,
267.67369672833894,267.7544687004695,269.63972870424914,270.05710610188817,270.2572150727965,265.4,2000-03-29
270.35062323364514,270.41964289743106,269.71300372583937,269.82288491821237,269.9796546243158,262.55,2000-03-30
262.953205001283,262.8375081069629,265.95697354205913,265.64038258023356,265.455131265044,257.2,2000-03-31
260.33470791844104,260.33362246689353,262.3552789065652,262.2711808116337,262.0869807206882,247.15,2000-04-03
255.42210378245022,255.3313077127103,255.99269945655396,255.79810070139138,255.62871734016903,227.4,2000-04-04
