POWER_3,POWER_4,POWER_5,POWER_6,POWER_7,ACTUAL_PRICE,DATE
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
14467.75,14467.75,14467.75,14467.75,14467.75,14467.75,
10466.083810285034,10474.163702158261,10472.785214338923,10478.67875746307,10494.060118043706,10188.9,2000-03-29
10105.79670073471,10096.755675642293,10089.229084138802,10092.437366886072,10110.754555994012,9745.7,2000-03-30
10309.060240988287,10346.497093875005,10324.545006407694,10301.784300905152,10287.377330601115,8970.15,2000-03-31
9839.331907794522,9845.546069132804,9800.299070040935,9772.231039441735,9738.993150261702,8252.55,2000-04-03
8851.737198922056,9088.266695419035,9140.337483653864,9146.569088967086,9132.619844291627,7592.35,2000-04-04
8120.397469971569,8851.850855331693,8719.141819804965,8682.011947757412,8642.31874868087,7797.65,2000-04-05
7810.241949982112,7599.313353055739,7825.201538768873,7788.921302019313,7758.515049307274,8415.3,2000-04-06
7910.859028282459,7941.337963377242,8174.1300768422225,8128.099275406494,8081.107442364229,9088.55,2000-04-07
8352.476595430438,8899.564256161859,8892.410423112517,8873.34289391328,8828.50792789943,9815.65,2000-04-10
9044.307750985194,9447.770401958725,9358.090809223388,9398.437940888893,9423.907768330042,10599.2,2000-04-11
9888.230586391452,9704.545901842706,9738.673799312164,9769.462948621738,9807.733053353752,10077.0,2000-04-12
10809.212999546384,10365.130498392275,10378.356512600629,10333.213224032683,10302.023200360612,9270.85,2000-04-13
10166.997827192303,9894.297539230378,9880.024442788184,9889.640940011093,9909.209905862306,8529.2,2000-04-17
9178.914731210687,9293.670930810098,9348.432588800024,9392.815235039154,9434.543366377058,7846.9,2000-04-18
8405.588567061597,8612.8452150214,8877.341941970546,8886.362013179714,8887.776868038252,7250.05,2000-04-19
7907.669835737346,8078.850568238064,8184.495682890592,8150.273747784704,8116.028960320642,7603.55,2000-04-20
7577.108433735375,7388.7654268907645,7158.2269769468185,7152.6686705707925,7151.511836632077,7371.4,2000-04-24
7694.575019477386,7741.55003237474,7757.210314800643,7733.83352662297,7716.519092051982,7172.35,2000-04-25
7511.892635614564,7516.360242228775,7508.218692838263,7500.626644061431,7493.403196945768,7742.9,2000-04-26
7305.841045437546,7335.412433148551,7291.225922683636,7272.940725460085,7261.739687339119,7988.25,2000-04-27
7909.858008629066,7908.594751982349,7919.098632082458,7923.20883462766,7922.526589029048,8121.65,2000-04-28
8127.658328355743,8120.374799066398,8133.722602284191,8144.062638324203,8149.0480752872845,7883.3,2000-05-02
8244.345635141603,8238.0911776908,8243.195885709265,8257.066796384737,8266.428187278154,7648.9,2000-05-03
8043.941583237428,8039.889068950324,8042.721624387155,8051.366457863025,8055.040056460506,8179.55,2000-05-04
7818.441854526776,7809.035749023118,7818.333863437852,7816.441352722004,7810.904168653657,8566.0,2000-05-05
8255.74249991052,8202.742691161511,8243.82211731461,8258.30601231272,8269.57907225688,7597.8,2000-05-08
8599.015616792276,8569.441782382804,8586.897314380018,8600.190540942614,8614.519694534545,7876.0,2000-05-09
7723.528708729636,7727.290073663069,7721.902554207978,7720.233272434332,7714.869096382879,7760.95,2000-05-10
7920.435421295337,7852.752559644126,7898.298333117562,7911.844846004215,7920.831435667632,7060.95,2000-05-11
7786.520543450657,7773.135496132643,7779.41576386439,7785.857319257715,7789.289637817119,6860.9,2000-05-12
7166.5708074189215,7181.651606572639,7161.406209125363,7148.089255339857,7135.120464393363,6939.3,2000-05-15
6976.018605538844,6960.506457081476,6947.381506622447,6938.408965602048,6931.688889532412,6863.9,2000-05-16
7039.879152635442,7020.852936038929,7020.957888153593,7014.966135192084,7009.557234557404,6962.85,2000-05-17
6953.894332623589,6937.101573165079,6922.157381737643,6917.9542603080135,6915.624993095904,6897.85,2000-05-18
6977.875740771422,6956.3851407711845,6955.234710374896,6954.104580135956,6953.655363513024,6456.35,2000-05-19
6830.413207888663,6860.842885033322,6807.438850699888,6806.958230471813,6808.616795423084,5939.0,2000-05-22
6412.271999386261,6389.215631458523,6392.456824457913,6384.00638393687,6380.253426866151,6016.35,2000-05-23
5904.431005075026,5858.391483510244,5858.118925974244,5857.686067934559,5869.49726324254,6047.3,2000-05-24
5989.953054746857,5971.370280313831,5958.907315027152,5957.138526927103,5964.302515990668,6039.15,2000-05-25
6010.292958044449,6003.832469775625,5992.254146716623,5989.173012449335,5991.805932340896,5978.35,2000-05-26
5986.089778517323,5983.276228299251,5977.235500683741,5972.608100044879,5971.9646882216875,5891.35,2000-05-29
5995.731186145616,5996.994535709955,5991.393184370363,5985.042413783776,5982.589513798526,6266.95,2000-05-30
6004.280076941127,5985.610133177064,5983.333813947674,5984.233648809112,5989.296617671107,6998.75,2000-05-31
6334.025120204659,6342.3842755341575,6337.041931520422,6332.179923577001,6327.346432587685,6993.65,2000-06-01
7020.752128754729,7061.87888815079,7058.795562338582,7051.549144195531,7039.559185413189,7534.2,2000-06-02
7046.465161206397,7061.609469732512,7063.042404224008,7059.6813707244055,7051.028008852185,8001.95,2000-06-05
7564.274546311408,7553.017643465133,7549.051424650368,7547.355051159382,7545.730629448232,7971.65,2000-06-06
7992.088553998503,8004.5648381313695,8005.261108748808,8002.86026342747,7999.804860865335,7836.6,2000-06-07
7965.926201599263,7974.320019614974,7974.688819330737,7975.353558899718,7973.924788618086,7906.9,2000-06-08
7837.716106882777,7826.833801494657,7829.701229843971,7832.023659158716,7832.772078235619,7935.05,2000-06-09
7902.691837405735,7851.646136508527,7853.986143946311,7857.370841965689,7862.96640116257,7764.2,2000-06-12
7925.950727638902,7876.415044598893,7883.073859336448,7885.459799359186,7890.185338967666,7770.45,2000-06-13
7760.28269013592,7747.937602467304,7739.375019104062,7743.524006801281,7748.661095252248,7813.1,2000-06-14
7780.023462198907,7749.842447878036,7753.793724194147,7758.337981878846,7764.382150385726,8282.35,2000-06-15
7814.472845683662,7772.9282811272715,7785.637401475273,7788.949171542621,7794.628121895623,8390.65,2000-06-16
8236.232224555257,8208.727692072956,8200.148248350157,8191.657491875344,8185.121366042685,8565.7,2000-06-19
8339.30577495797,8316.223986446043,8310.474212239435,8301.327765559075,8293.285105454637,8728.95,2000-06-20
8474.661690975714,8470.593383277937,8462.573319679577,8455.55891519133,8448.421856007226,8500.75,2000-06-21
8617.47941005797,8618.967093109342,8613.332983956969,8605.639051385804,8595.165775497493,8512.6,2000-06-22
8414.88133001407,8409.044865477954,8404.202439825143,8396.54161073038,8387.910472913629,8259.25,2000-06-23
8405.391003237914,8406.79822645908,8403.78596921897,8399.004962084942,8393.157551880024,8083.15,2000-06-26
8199.983600731863,8198.040659274287,8199.176206627475,8194.791167403433,8191.052045305732,8157.5,2000-06-27
8061.271343938449,8050.821096405605,8047.240810697082,8043.352422628034,8041.395733511082,8216.8,2000-06-28
8151.344055882317,8140.648919816471,8133.350584612221,8129.831603701482,8127.7831232077015,8390.5,2000-06-29
8223.439111697415,8213.558506805395,8209.40759043604,8205.550660416706,8202.662623686356,8310.4,2000-06-30
8390.985694709663,8388.881526507008,8382.071761448791,8377.744348193271,8373.31435210508,8583.55,2000-07-03
8312.620989728466,8305.058502917367,8299.494199041528,8296.472407542311,8294.104983558853,8749.85,2000-07-04
8534.707988827973,8538.826750493412,8531.7804935768,8526.54093241781,8520.360315620084,8600.45,2000-07-05
8618.969069838164,8634.838646803219,8621.31808436277,8619.072486646519,8613.01950469762,8468.25,2000-07-06
8434.515311733025,8384.5235310618,8412.886302509956,8419.976885653263,8425.242194089684,8487.65,2000-07-07
8351.834671141964,8338.815124706103,8337.154416653484,8340.132326504736,8343.140623353156,8296.6,2000-07-10
8366.804239473298,8367.955741355123,8365.300553751045,8366.613673927817,8367.69910166905,8273.25,2000-07-11
8253.013589265676,8254.532926633356,8255.482980292789,8245.344035538857,8247.062024849087,8361.55,2000-07-12
8243.775147818957,8244.746956120605,8245.198203653214,8234.97985750818,8237.110872597099,8031.15,2000-07-13
8312.474331512207,8313.712052087878,8314.369845750429,8295.934868798922,8297.177223093295,7770.05,2000-07-14
8055.000622365325,8054.9610626385,8054.616645624068,8052.809536158398,8053.516052229577,7692.6,2000-07-17
7817.213268609179,7815.386197976411,7813.8909707428875,7824.7928141259035,7823.580729646447,7454.55,2000-07-18
7744.593247117893,7742.493800603929,7740.937723102609,7755.404478999739,7753.4295279686,7325.1,2000-07-19
7482.113615597402,7478.912847759277,7476.518985189168,7486.4192729845145,7484.837628650877,7347.25,2000-07-20
7337.142542715686,7334.395030847443,7332.468259267234,7336.817323856807,7335.441948053793,7349.3,2000-07-21
7335.704345691069,7332.4462417818395,7329.818689012763,7325.557094936944,7325.308964817251,6851.8,2000-07-24
7354.821808878285,7351.689300071997,7349.037987651404,7336.890985986053,7337.189450904359,7118.45,2000-07-25
6804.464432095992,6805.2323903968245,6806.476163211748,6818.752023285579,6818.397889070828,6656.1,2000-07-26
7084.987017364954,7081.454653582703,7078.364126380119,7067.512450841994,7069.943634035281,6787.2,2000-07-27
6636.017236782143,6636.851673236408,6637.66922813886,6675.307371192488,6672.8014766364,6845.3,2000-07-28
6760.773182937657,6759.897681795535,6759.070503977027,6783.25818194798,6783.888434639926,6761.25,2000-07-31
6812.043863086841,6810.286994029549,6808.575972975621,6828.982105089744,6830.0027310069845,6748.15,2000-08-01
6727.214262300549,6726.2686903483345,6725.381216404513,6753.226354996677,6753.41130135072,6627.1,2000-08-02
6705.992903846931,6706.710484336687,6707.563440481233,6720.277083973405,6720.217791649197,6450.6,2000-08-03
6592.131431249698,6594.353117449131,6596.436956364581,6607.095283758115,6607.516778307969,6325.2,2000-08-04
6434.090094445255,6437.579886779127,6440.703001494804,6456.7586152359245,6456.065661161813,6438.8,2000-08-07
6390.049483580246,6390.816455913182,6450.065686552691,6442.155838396249,6434.461657081696,7459.25,2000-08-08
6481.663675695192,6481.681893435854,6535.072585900336,6529.0525781604465,6522.860234285001,7571.65,2000-08-09
7448.44623638544,7447.04074720421,7395.288509218684,7397.253777958531,7400.029406480453,7270.55,2000-08-10
7570.424154201446,7570.787126229054,7527.26269929931,7527.30898138368,7526.814680535457,7235.55,2000-08-11
7295.674406654109,7294.024636693903,7233.656158111509,7239.46319020812,7245.051415333864,7280.5,2000-08-14
7279.118376282798,7277.354560124261,7234.167200783835,7238.074742566314,7242.856401339276,7735.3,2000-08-16
7313.200070216588,7311.585212274456,7265.512463247811,7269.164427009229,7273.386535094928,7561.85,2000-08-17
7745.476077808882,7747.307705157048,7725.190352669764,7723.547694047007,7722.4018079318,7970.9,2000-08-18
7579.9715553510105,7579.493150708554,7544.6489027214775,7545.279187501237,7546.871112808764,7965.9,2000-08-21
7987.997346814402,7991.113787334922,7996.294943330104,7995.1115156934475,7993.774835613797,8295.85,2000-08-22
7995.409400054821,7993.622106082312,7991.299786994325,7988.604864251501,7985.751322692976,8045.85,2000-08-23
8301.197371426737,8303.410800459016,8305.225841121079,8306.543571895601,8307.309430885565,8211.05,2000-08-24
8070.899062054086,8070.802629508584,8070.306528827536,8069.505326300559,8068.534825698204,8155.85,2000-08-25
8219.731813662394,8220.68713177718,8221.088682996366,8220.942755937727,8220.306457086588,7797.9,2000-08-28
8164.448831871909,8165.4799207422475,8165.9376815619235,8165.839014135305,8165.255901875045,7841.45,2000-08-29
7794.009530010182,7791.220660059473,7788.417479620113,7785.821174976892,7783.63656213126,7852.2,2000-08-30
7863.219986320197,7860.407091364319,7857.475441804669,7854.6721658823035,7852.2380559277335,8326.8,2000-08-31
7878.723342447309,7875.886908988017,7872.8476449535665,7869.8588004126,7867.171414149511,8609.4,2000-09-04
8343.022752568242,8345.895893301535,8348.228467162491,8349.907825502909,8350.872012819575,8532.1,2000-09-05
8514.106354698626,8513.531406037197,8513.64150898226,8514.337852079681,8515.478512866326,8360.5,2000-09-06
8477.667733783703,8479.214638466117,8480.996211808537,8482.849571676315,8484.600900591495,8358.1,2000-09-07
8376.75042445214,8379.631620891527,8382.03564096941,8383.851166096547,8385.009358814827,8582.7,2000-09-08
8371.479683611367,8374.266299731618,8376.671769061311,8378.596702572886,8379.977500266894,8681.75,2000-09-11
8544.776903964594,8545.25205511591,8546.051973975036,8547.07792955457,8548.21092927396,8841.4,2000-09-12
8606.068543135902,8605.68731190242,8605.894025110949,8606.599477523185,8607.67502886496,8716.1,2000-09-13
8663.751131023018,8656.817442441654,8651.2895224067,8647.399998914378,8645.330089666382,8591.55,2000-09-14
8620.842878626616,8619.757933420973,8619.44329556839,8619.85147090522,8620.888171299599,8497.8,2000-09-15
8524.205799739299,8525.801918102818,8527.485577041069,8529.091123114924,8530.44499614017,8006.65,2000-09-18
8461.147529375768,8463.07805125423,8464.782899390473,8466.115707675955,8466.946426776147,7641.75,2000-09-19
8011.741695652017,8009.639193175575,8007.229534131609,8004.743397138251,8002.43170642871,7796.4,2000-09-20
