POWER_3,POWER_4,POWER_5,POWER_6,POWER_7,ACTUAL_PRICE,DATE
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
850.0,850.0,850.0,850.0,850.0,850.0,
